id,store_name,store_num,address,store_phone,manager_name,manager_phone,contact_person,contact_phone,store_email,notes,pricing_category,last_visit_date,latitude,longitude
,Stokkes Adolph,,"3710 Midway Rd, Hermantown MN 55810",218 624-9680,,,"Sue, Kendra, Sienna",,,Open 6am Just Pizza,,,46.7794,-92.279687
,Lucky Seven Proctor,32,"9303 Westgate Blvd, Proctor, MN 55810",218-481-1132,Cathy,,,,,"Deli and Retail. Deli has walk in freezer and has pizza pushers on the shelf for Breakfast, Pepperonni, Pepperoni Sausage, and 4 meat. Stock what they need for Deli (you decide) and put cases on freezer floor, they will take care of them. Retail gets scanned before stocking, you can scan yourself or sometimes they will scan, or sometimes Cathy (manager) will tell you to just stock it and she'll scan it later.",,,46.7273381,-92.218201
,Super One West Duluth,565,"5300 Bristol St, Duluth, MN 55807",,,,,,,"Park in back, go in back door Get checked in by ladies in front office (mirrored window near checkout). Employees there can't sign, so ladies in front office are best to go to for invoice signature. Give them invoice, or else put printed invoice on desk right next to the back door.",,,46.737000550000005,-92.16418147908871
,Super One Superior,530,"1515 Oakes Ave, Superior, WI 54880",,,,,,,"Park on south(?) side, on Ace hardware side, toward back of building. Go in side door. Get signature from whoever and print invoice and put on desk of the frozen/dairy department",,,46.7199255,-92.10759363697713
,Tap On Tower,,"1106 Tower Ave, Superior, WI 54880",,,,,,,"Currently out of business, dont' go there. Shltn Pep, PepSaus, Supreme, Cheese, BuffChix, ChixAlf key: #9211 alarm 1125 Don't do 4meat anymore! Same flavors as Duluth tap",,,46.725241653061225,-92.10377842857143
,Average Joes,,"1310 N 5th St, Superior, WI 54880",2184340791,Emily,2182063508,Logan,,,WI route on your way back home after WI route. They're open at later hours (not in morning) opens at 2pm or noon on Friday 715-392-1572,,,46.732356949999996,-92.09674099980539
,Super One Liq E Superior,807,"2202 E 2nd St, Superior, WI 54880",,,,,,,"They are currently not taking any pizza from us. You can talk with them if you want to see if they are interested, but currently they are not.",,,46.70513965,-92.04846258251769
,Korner Store Superior,300,"3802 E 2nd St, Superior, WI 54880",,Dylan,,,,dsalo@yourkornerstore.com,"WI route on your way back home after WI route. No need to scan, just stock and get signature. By Presidents Bar",,,46.68994979591837,-92.02619314285714
,Duluth Tap Exchange,,"1905 W Superior St, Duluth, MN 55806",218 391-1622,Logan,2184340791,,,,"key box: #291,  alrarm: 1125,  Shelton 6 flavors: Pep, PepSaus, Supreme, Cheese, BuffChix, ChixAlf - no more than 8 in freezer at a time - they move slow",,,46.7687548,-92.1222135
,Korner Store Lincoln Park,800,"1831 W Superior St, Duluth, MN 55806",,Josh,218-730-3920,,,,"Pizza and sandwiches Just keep Tielke sandwiches in their cases and put in back, unless Josh wants them on counter top. He or someone will put them in open air cooler, not you.",,,46.769422,-92.121799
,Speedway 4th Street,44618,"602 E 4th St, Duluth, MN 55805",,,,,,,"Must scan before stocking! Wait up front, near chicken shop (but make room for customers) to get checked in. Pizzas MUST go in their proper spots in the freezer, so make sure you know where they go!",,,46.746246,-92.217322
,Short Stop Central Ent,,"906 Central Entrance Dr, Duluth, MN 55805",,,,,,,Stokke Pizza Tielke sandwiches,,,46.79882276008129,-92.10219260394824
,Short Stop 9th Street,,"1301 E Ninth St, Duluth MN 55805",,,,,,,"Retail pizza and Tielke subs in retail freezer, meat sticks, and meat n cheese packets in open air cooler. Show inventory before stocking when manager is there. Otherwise it's mostly okay to just stock and get signature and print invoice without scanning, but show before stocking! Just ask if they want to scan you in or not",,,46.805513,-92.091801
,Super One Kenwood,458,"1316 W Arrowhead Rd, Duluth MN 55811",,,,,,,"Back door is at back of store, near the Play it again sports, but on the back. Often locked, so I park near front door (where it says no parking) and just run in quick w truck running, hope no parking ticket",,,46.8211714,-92.09780883289473
